"species"	"decimalLongitude"	"decimalLatitude"
"Hepatica nobilis"	24.973467	54.753315
"Hepatica nobilis"	11.499613	48.019622
"Hepatica nobilis"	10.914163	47.917688
"Hepatica nobilis"	12.864097	47.638469
"Hepatica nobilis"	-0.314667	42.72443
"Hepatica nobilis"	8.032703	46.379941
"Hepatica nobilis"	16.194316	48.042544
"Hepatica nobilis"	-3.42898	43.451573
"Hepatica nobilis"	7.419489	44.241382
"Hepatica nobilis"	7.004455	43.737322
"Hepatica nobilis"	9.311369	45.962428
"Hepatica nobilis"	12.999835	47.652413
"Hepatica nobilis"	14.119553	53.98912
"Hepatica nobilis"	12.934689	47.799828
"Hepatica nobilis"	9.645643	47.318186
"Hepatica nobilis"	13.091078	47.726421
"Hepatica nobilis"	1.479113	42.473778
"Hepatica nobilis"	12.695653	53.529913
"Hepatica nobilis"	11.337808	47.276089
"Hepatica nobilis"	13.094572	47.785477
"Hepatica nobilis"	13.092715	47.786075
"Hepatica nobilis"	13.735817	48.003028
"Hepatica nobilis"	-2.064069	43.034294
"Hepatica nobilis"	13.751631	48.012492
"Hepatica nobilis"	13.130695	47.777381
"Hepatica nobilis"	13.757624	48.021404
"Hepatica nobilis"	13.774126	48.04215
"Hepatica nobilis"	13.78606	48.048354
"Hepatica nobilis"	13.791584	48.053546
"Hepatica nobilis"	13.038374	47.799607
"Hepatica nobilis"	-4.086901	43.119341
"Hepatica nobilis"	8.810917	45.862555
"Hepatica nobilis"	13.119756	47.684453
"Hepatica nobilis"	10.789119	51.817031
"Hepatica nobilis"	14.97628	58.11422
"Hepatica nobilis"	17.21477	59.06485
"Hepatica nobilis"	16.63505	56.7453
"Hepatica nobilis"	16.47477	56.44043
"Hepatica nobilis"	12.91289	55.55081
"Hepatica nobilis"	13.21877	55.5367
"Hepatica nobilis"	10.170268	59.391063
"Hepatica nobilis"	10.169216	59.388424
"Hepatica nobilis"	16.192452	47.971503
"Hepatica nobilis"	12.334712	47.797112
"Hepatica nobilis"	-0.030284	42.913712
"Hepatica nobilis"	7.114355	43.949707
"Hepatica nobilis"	23.993077	49.87455
"Hepatica nobilis"	15.682594	48.542484
"Hepatica nobilis"	7.398647	44.24737
"Hepatica nobilis"	11.422083	47.656264
"Hepatica nobilis"	6.946459	43.733062
"Hepatica nobilis"	-0.054477	42.648739
"Hepatica nobilis"	9.559533	45.90384
"Hepatica nobilis"	0.306624	40.789239
"Hepatica nobilis"	8.338917	44.816752
"Hepatica nobilis"	9.479995	45.805241
"Hepatica nobilis"	6.565515	44.710144
"Hepatica nobilis"	11.387318	46.509381
"Hepatica nobilis"	9.448235	45.807552
"Hepatica nobilis"	16.164163	47.926579
"Hepatica nobilis"	-0.475199	42.32577
"Hepatica nobilis"	9.302863	46.157338
"Hepatica nobilis"	7.213844	45.001172
"Hepatica nobilis"	6.513543	43.948663
"Hepatica nobilis"	0.306916	40.78987
"Hepatica nobilis"	7.985208	45.135255
"Hepatica nobilis"	6.69915	44.390043
"Hepatica nobilis"	5.781133	43.336627
"Hepatica nobilis"	6.801262	43.826305
"Hepatica nobilis"	-0.247249	38.859019
"Hepatica nobilis"	16.110159	47.930082
"Hepatica nobilis"	10.459677	44.118805
"Hepatica nobilis"	9.95595	51.56767
"Hepatica nobilis"	0.140058	43.034747
"Hepatica nobilis"	-1.254142	42.933678
"Hepatica nobilis"	-1.254092	42.933705
"Hepatica nobilis"	10.119141	45.69424
"Hepatica nobilis"	7.44275	44.99611
"Hepatica nobilis"	13.814915	46.581155
"Hepatica nobilis"	-2.728962	42.788882
"Hepatica nobilis"	10.005761	51.507367
"Hepatica nobilis"	9.684085	45.794957
"Hepatica nobilis"	8.924053	45.881644
"Hepatica nobilis"	8.999563	46.933358
"Hepatica nobilis"	8.925394	45.884206
"Hepatica nobilis"	8.919333	45.88325
"Hepatica nobilis"	7.965808	45.142296
"Hepatica nobilis"	16.465052	50.069886
"Hepatica nobilis"	-1.919673	42.976389
"Hepatica nobilis"	-1.581733	43.267302
"Hepatica nobilis"	6.405823	43.793704
"Hepatica nobilis"	6.937672	47.000603
"Hepatica nobilis"	9.823072	45.723667
"Hepatica nobilis"	9.824188	45.725197
"Hepatica nobilis"	9.825653	45.72667
"Hepatica nobilis"	-5.907565	43.170971
"Hepatica nobilis"	-0.293181	42.525681
"Hepatica nobilis"	-0.2914	42.525781
"Hepatica nobilis"	7.773809	45.043162
"Hepatica nobilis"	7.773809	45.043162
"Hepatica nobilis"	7.773809	45.043162
"Hepatica nobilis"	0.772978	42.982738
